D2006285000100001000000000004530243005200601250520062378                REFERENTE A FORNECIMENTO DE LANCHES.                                                                                    D-1      2    3008200730052006                                                                                                                                                                          
D2006285000100002000000000007980002203200601060320065430                REFERENTE A LOCAÇÃO DE EQUIPAMENTOS.                                                                                    SERVIÇOS UNICO1711200722032006                                                                                                                                                                          
D200628500010000300000000000594000230320060106032006295                 REFERENTE A CONFECÇÃO DE PASTAS.                                                                                        SERVIÇOS UNICO3112200623032006                                                                                                                                                                          
D200628500010000400000000000798500220320060106032006065                 REFERENTE A LOCAÇÃO DE MATERIAIS.                                                                                       SERVIÇOS UNICO0407200722032006                                                                                                                                                                          
D200628500010000500000000000031075220320060106032006004 - ISSQN         REFERENTE AO DESCONTO DO ISSQN.                                                                                         SERVIÇOS UNICO0201200822032006                                                                                                                                                                          
D200628500010000500000000000590425220320060106032006004 - LIQUIDO       REFERENTE A SERVIÇOS DE APOIO SECRETARIADO.                                                                             SERVIÇOS UNICO0201200822032006                                                                                                                                                                          
D200628500010000600000000000009000041020060904102006200600010007989     PAGTO DE DIÁRIAS                                                                                                                      3011000204102006                                                                                                                                                                          
D2006285000100007000000000000915002812200601281220061426 - ISSQN        REFERENTE AO DESCONTO DO ISSQN.                                                                                         SERVIÇOS UNICO3112200628122006                                                                                                                                                                          
D2006285000100007000000000017385002812200601281220061426 - LIQUIDO      REFERENTE A REALIZAÇÃO DO EVENTO DA 3º EDIÇÃO DO GOIAS FAZENDO SAUDE.                                                   SERVIÇOS UNICO3112200628122006                                                                                                                                                                          
D2006285000100007000000000000650002812200601281220061487 - ISSQN        REFERENTE AO DESCONTO DO ISSQN DA NF.                                                                                   SERVIÇOS UNICO3112200628122006                                                                                                                                                                          
D2006285000100007000000000012350002812200601281220061487 - LIQUIDO      REFERENTE A REALIZAÇÃO DO EVENTO DA 3º EDIÇÃO DO GOIAS FAZENDO SAUDE.                                                   SERVIÇOS UNICO3112200628122006                                                                                                                                                                          
D200628500030000100000000005262314270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500030000200000000000815864270120060427012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500030000300000000000006254270120060427012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500030000400000000000015606270120060327012006JANEIRO/2006        PAGAMENTO REF. A FOLHA DE PAGEMENTO DO PESSOAL NO MES DE JANEIRO/2006.                                                                3011000227012006                                                                                                                                                                          
D200628500030000500000000005231354200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500030000600000000000845901200220060420022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500030000700000000000007177200220060420022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500030000800000000000016473200220060320022006FEVEREIRO/06        FOLHA DE PAGAMENTO                                                                                                                    3011000220022006                                                                                                                                                                          
D200628500030000900000000005219280240320060324032006MARÇO/06            PAGAMENTO DE PESSOAL PENSIONISTA MÊS DE MARÇO/06                                                                                      3011000224032006                                                                                                                                                                          
D200628500030001000000000000859184240320060424032006MARÇO/2006          PAGAMENTO DE PESSOAL PENSIONISTA MÊS DE MARÇO/06                                                                                      3011000224032006                                                                                                                                                                          
D200628500030001100000000000005968240320060424032006MARÇO/06            PAGAMENTO DE PESSOAL PENSIONISTA MÊS DE MARÇO/06                                                                                      3011000224032006                                                                                                                                                                          
D200628500030001200000000000017340240320060324032006MARÇO/06            PAGAMENTO DE PESSOAL PENSIONISTA MÊS DE MARÇO/06                                                                                      3011000224032006                                                                                                                                                                          
D200628500030001300000000000175996240320060324032006MARÇO/06            PAGAMENTO DE PESSOAL PENSIONISTA MÊS DE MARÇO/06                                                                                      3011000224032006                                                                                                                                                                          
D200628500030001400000000005212552270420060327042006FOLHA ABR/06 PENS.  FOLHA DE PAGAMENTO DO MES DE ABRIL/2006                                                                                               3011000227042006                                                                                                                                                                          
D200628500030001500000000000864895270420060427042006FOLHA ABR/06 - PENS.FOLHA DE PAGAMENTO DO MES DE ABRIL/2006                                                                                               3011000227042006                                                                                                                                                                          
